post_id,song_id,orden,destacado,timestamp
1,704,1,True,4.96
2,1181,1,True,7.92
3,55,1,True,24.09
4,164,1,True,5.09
5,749,1,True,5.8
6,653,1,True,15.77
7,616,1,True,14.78
8,1045,1,True,24.36
9,764,1,True,9.98
10,1419,1,True,7.14
11,63,1,True,26.77
12,1110,1,True,2.53
13,808,1,True,4.7
14,1103,1,True,25.48
15,446,1,True,24.16
16,973,1,True,24.8
17,503,1,True,4.66
18,55,1,True,1.35
19,1081,1,True,23.86
20,186,1,True,4.98
21,414,1,True,27.23
22,590,1,True,13.5
23,1092,1,True,13.71
24,516,1,True,18.04
25,1079,1,True,13.66
26,396,1,True,2.01
27,861,1,True,14.2
28,1139,1,True,16.66
29,1408,1,True,7.02
30,93,1,True,3.72
31,386,1,True,8.38
32,285,1,True,27.12
33,889,1,True,2.07
34,1264,1,True,25.81
35,748,1,True,2.76
36,154,1,True,27.92
37,1217,1,True,22.89
38,1353,1,True,27.44
39,190,1,True,3.38
40,96,1,True,29.29
41,284,1,True,7.09
42,1372,1,True,0.61
43,660,1,True,4.64
44,1070,1,True,24.39
45,159,1,True,7.64
46,757,1,True,18.89
47,743,1,True,5.3
48,23,1,True,19.22
49,1440,1,True,27.82
50,1268,1,True,9.48
51,291,1,True,1.19
52,889,1,True,6.63
53,832,1,True,29.92
54,1471,1,True,18.32
55,1148,1,True,26.53
56,818,1,True,19.81
57,1097,1,True,8.98
58,770,1,True,3.16
59,654,1,True,22.74
60,375,1,True,9.4
61,1019,1,True,8.46
62,1183,1,True,16.19
63,1399,1,True,22.38
64,575,1,True,11.55
65,501,1,True,19.3
66,342,1,True,9.64
67,183,1,True,8.7
68,1409,1,True,9.95
69,1035,1,True,8.54
70,577,1,True,15.56
71,43,1,True,28.88
72,366,1,True,24.61
73,351,1,True,9.73
74,1218,1,True,26.04
75,323,1,True,2.73
76,891,1,True,8.59
77,1317,1,True,29.81
78,1079,1,True,10.61
79,137,1,True,12.19
80,1342,1,True,21.61
81,1183,1,True,29.81
82,541,1,True,3.94
83,328,1,True,17.17
84,1188,1,True,24.79
85,748,1,True,27.0
86,1326,1,True,19.5
87,102,1,True,26.94
88,1148,1,True,25.72
89,217,1,True,19.23
90,911,1,True,21.16
91,109,1,True,22.63
92,1482,1,True,14.97
93,307,1,True,25.25
94,655,1,True,15.36
95,57,1,True,15.15
96,90,1,True,5.08
97,338,1,True,20.41
98,404,1,True,17.99
99,841,1,True,9.99
100,710,1,True,19.64
101,105,1,True,25.15
102,1371,1,True,13.78
103,1284,1,True,29.16
104,189,1,True,25.9
105,994,1,True,18.6
106,973,1,True,26.8
107,1294,1,True,16.1
108,1002,1,True,7.55
109,654,1,True,2.23
110,825,1,True,3.14
111,1247,1,True,28.96
112,234,1,True,28.31
113,742,1,True,18.26
114,1398,1,True,1.72
115,212,1,True,7.18
116,25,1,True,20.48
117,1058,1,True,27.53
118,677,1,True,11.77
119,1401,1,True,21.42
120,1301,1,True,24.68
121,1412,1,True,14.57
122,468,1,True,18.06
123,926,1,True,7.86
124,1296,1,True,9.23
125,1130,1,True,25.45
126,1244,1,True,17.67
127,308,1,True,24.22
128,1238,1,True,2.9
129,179,1,True,10.3
130,1488,1,True,2.58
131,94,1,True,6.91
132,1095,1,True,3.62
133,1394,1,True,18.77
134,1304,1,True,24.65
135,1155,1,True,17.52
136,355,1,True,2.71
137,527,1,True,12.37
138,998,1,True,13.44
139,1409,1,True,29.02
140,1293,1,True,11.74
141,852,1,True,24.14
142,1377,1,True,27.44
143,146,1,True,26.52
144,308,1,True,27.97
145,634,1,True,24.26
146,1182,1,True,10.53
147,35,1,True,14.75
148,1175,1,True,8.18
149,123,1,True,7.21
150,595,1,True,24.95
151,172,1,True,5.9
152,30,1,True,19.84
153,1085,1,True,2.66
154,937,1,True,28.13
155,1387,1,True,12.83
156,152,1,True,27.86
157,1303,1,True,21.41
158,1327,1,True,11.86
159,1131,1,True,21.77
160,746,1,True,20.71
161,992,1,True,23.69
162,494,1,True,14.5
163,67,1,True,10.76
164,1065,1,True,16.98
165,1140,1,True,6.4
166,501,1,True,18.06
167,742,1,True,21.76
168,1010,1,True,6.84
169,577,1,True,28.31
170,674,1,True,7.85
171,82,1,True,2.99
172,1344,1,True,15.03
173,506,1,True,7.73
174,1060,1,True,18.99
175,428,1,True,11.55
176,657,1,True,22.4
177,1180,1,True,7.18
178,819,1,True,1.77
179,695,1,True,23.91
180,1160,1,True,11.42
181,1005,1,True,3.99
182,353,1,True,14.55
183,593,1,True,1.81
184,820,1,True,17.38
185,569,1,True,15.49
186,356,1,True,26.95
187,225,1,True,19.13
188,1242,1,True,7.31
189,161,1,True,10.05
190,1316,1,True,12.54
191,212,1,True,24.78
192,779,1,True,19.05
193,378,1,True,24.11
194,1095,1,True,24.92
195,396,1,True,17.51
196,1325,1,True,16.57
197,1254,1,True,25.35
198,786,1,True,6.99
199,623,1,True,17.38
200,194,1,True,29.78
201,974,1,True,3.66
202,1079,1,True,21.43
203,1156,1,True,17.41
204,839,1,True,8.58
205,878,1,True,26.56
206,704,1,True,0.55
207,1271,1,True,28.51
208,1430,1,True,27.2
209,207,1,True,15.95
210,509,1,True,9.89
211,995,1,True,27.92
212,634,1,True,5.84
213,626,1,True,15.66
214,1460,1,True,13.13
215,1349,1,True,17.6
216,919,1,True,17.48
217,617,1,True,20.63
218,839,1,True,18.42
219,1289,1,True,19.85
220,1120,1,True,9.43
221,183,1,True,17.48
222,166,1,True,7.38
223,254,1,True,1.13
224,308,1,True,11.94
225,399,1,True,20.6
226,544,1,True,3.54
227,1,1,True,5.26
228,1455,1,True,24.04
229,1376,1,True,18.36
230,265,1,True,12.46
231,746,1,True,6.85
232,63,1,True,8.58
233,1191,1,True,0.62
234,1400,1,True,25.42
235,741,1,True,5.66
236,1425,1,True,26.46
237,630,1,True,10.46
238,590,1,True,12.23
239,75,1,True,28.38
240,475,1,True,19.82
241,106,1,True,9.1
242,347,1,True,15.75
243,657,1,True,0.01
244,829,1,True,18.72
245,739,1,True,12.2
246,1159,1,True,13.66
247,1001,1,True,12.17
248,717,1,True,12.79
249,837,1,True,8.24
250,1276,1,True,21.0
251,357,1,True,10.67
252,111,1,True,16.21
253,1076,1,True,21.18
254,1305,1,True,1.01
255,848,1,True,18.33
256,335,1,True,1.97
257,1446,1,True,4.12
258,966,1,True,26.01
259,1118,1,True,19.78
260,229,1,True,27.73
261,196,1,True,7.99
262,936,1,True,11.39
263,1361,1,True,25.53
264,282,1,True,1.86
265,234,1,True,6.53
266,575,1,True,11.62
267,1105,1,True,4.22
268,1200,1,True,22.74
269,54,1,True,10.92
270,381,1,True,22.82
271,1347,1,True,14.49
272,339,1,True,7.58
273,726,1,True,10.96
274,963,1,True,16.24
275,1016,1,True,4.07
276,731,1,True,5.73
277,573,1,True,1.67
278,444,1,True,27.15
279,89,1,True,26.49
280,1425,1,True,19.13
281,352,1,True,13.33
282,647,1,True,19.52
283,960,1,True,4.04
284,111,1,True,3.17
285,369,1,True,26.31
286,332,1,True,11.36
287,205,1,True,21.62
288,667,1,True,17.33
289,435,1,True,2.18
290,349,1,True,14.56
291,907,1,True,18.57
292,703,1,True,19.3
293,637,1,True,16.59
294,1106,1,True,8.68
295,1456,1,True,23.37
296,1188,1,True,9.33
297,518,1,True,5.3
298,711,1,True,4.06
299,908,1,True,5.91
300,628,1,True,6.69
301,1079,1,True,5.79
302,1425,1,True,9.73
303,1052,1,True,17.38
304,1309,1,True,22.25
305,480,1,True,7.76
306,166,1,True,26.08
307,311,1,True,24.05
308,166,1,True,25.97
309,485,1,True,10.23
310,444,1,True,17.04
311,860,1,True,1.84
312,732,1,True,8.26
313,78,1,True,29.11
314,803,1,True,10.61
315,614,1,True,29.09
316,1094,1,True,20.09
317,1177,1,True,7.72
318,906,1,True,16.43
319,318,1,True,6.89
320,442,1,True,26.15
321,59,1,True,11.1
322,1350,1,True,2.56
323,871,1,True,25.59
324,210,1,True,11.95
325,45,1,True,29.75
326,865,1,True,6.87
327,648,1,True,20.94
