user_id,song_id,fecha,duracion,completado
330,17,2026-02-18,4.39,True
483,417,2020-11-08,2.61,True
1107,184,2025-07-02,1.0,False
469,285,2022-09-01,4.77,True
134,326,2024-01-23,4.89,False
303,568,2024-01-28,3.79,True
1158,418,2020-08-21,1.31,True
960,806,2023-08-22,2.7,False
929,821,2024-04-05,2.89,True
583,689,2025-01-25,3.99,False
465,215,2025-04-01,4.51,True
1218,1132,2020-08-18,2.4,False
300,353,2025-12-09,3.49,False
749,106,2021-08-04,1.56,False
1342,741,2022-05-27,3.89,False
579,1064,2025-11-11,1.61,True
929,1117,2021-02-03,3.37,False
1362,384,2020-11-09,3.69,True
351,1355,2024-12-31,2.96,True
1116,1462,2021-04-23,1.85,True
494,81,2021-04-25,3.17,True
46,1199,2023-08-11,2.92,True
1006,1421,2020-02-18,3.75,True
496,10,2022-09-28,4.69,False
382,15,2024-11-23,2.99,True
350,1383,2021-03-23,3.73,False
742,1109,2024-03-12,3.04,False
528,224,2025-11-09,2.12,True
687,1098,2024-01-14,1.53,False
15,1474,2021-01-25,1.72,False
1167,1260,2023-07-04,4.58,False
715,958,2025-09-12,3.23,True
1397,211,2024-09-28,4.97,False
482,163,2021-08-21,3.83,False
299,548,2022-11-18,2.84,False
347,805,2021-02-22,1.45,False
382,915,2023-07-12,2.18,True
1200,1118,2024-07-18,4.02,False
501,340,2024-12-07,2.55,True
850,706,2021-07-04,2.96,True
1377,871,2020-01-18,2.12,False
32,1322,2024-08-22,3.31,True
78,641,2023-08-17,2.91,True
824,529,2020-05-24,1.26,False
422,600,2023-07-07,4.08,False
934,1482,2023-03-03,4.31,False
1348,725,2023-01-15,3.04,False
716,957,2025-02-16,1.66,False
1457,1187,2021-03-04,1.05,False
908,69,2022-01-03,4.14,True
1172,1372,2025-01-06,3.46,False
68,748,2024-05-06,1.95,False
1097,1441,2021-12-22,2.44,False
208,719,2023-03-11,2.9,True
233,1006,2022-06-12,3.08,True
1310,776,2026-03-22,3.64,False
1460,1222,2022-08-11,4.47,False
806,886,2024-08-22,4.43,True
789,650,2025-05-07,4.49,False
787,1327,2022-02-22,3.22,True
389,1139,2024-07-10,1.55,True
520,919,2025-11-11,2.53,True
1250,569,2023-07-13,1.2,False
1083,593,2023-01-14,3.96,False
158,798,2021-05-31,4.85,True
973,496,2024-05-20,4.35,False
606,1007,2025-06-11,3.62,False
986,865,2023-10-02,2.08,True
541,793,2023-12-18,1.55,False
1019,1113,2023-07-06,4.79,True
1255,988,2023-05-30,1.14,False
321,108,2020-05-24,1.48,True
920,832,2023-09-09,2.56,False
153,1364,2020-03-03,2.12,False
1198,532,2022-07-03,2.68,False
1294,1323,2025-03-17,3.52,False
1340,938,2024-01-29,1.88,True
1463,1241,2024-05-05,3.76,False
1296,713,2024-07-05,1.95,False
934,958,2025-12-11,1.2,True
1017,910,2024-02-20,3.46,True
683,971,2024-12-25,3.38,False
973,654,2021-03-01,2.11,False
1351,936,2022-11-13,3.8,False
136,136,2021-06-27,3.94,False
328,1175,2025-08-03,1.64,True
30,665,2025-08-15,3.2,True
1055,873,2022-03-26,3.16,True
1355,626,2020-03-05,3.32,True
744,1135,2021-11-01,2.66,False
161,190,2021-07-17,4.34,False
734,1111,2025-05-31,4.67,True
1319,1408,2022-04-21,2.63,False
1493,1093,2020-02-29,4.67,True
1218,301,2022-09-16,4.78,False
1159,1371,2023-01-02,4.69,True
585,1173,2025-10-24,1.03,False
722,936,2026-03-04,1.04,True
1032,1275,2023-12-09,2.84,False
786,337,2021-03-13,4.85,False
449,855,2021-12-14,4.72,True
196,688,2020-04-24,4.99,False
723,1336,2021-10-26,4.13,False
322,1454,2025-01-01,3.08,True
30,1257,2025-09-11,2.16,False
294,51,2023-12-12,4.48,False
27,1063,2026-04-22,2.34,True
1329,1406,2023-01-07,3.87,True
1093,492,2020-07-21,3.63,True
1329,540,2025-12-18,2.33,False
587,388,2024-03-28,2.49,False
122,935,2021-02-20,3.33,True
609,15,2021-06-17,2.98,True
1253,1372,2023-10-06,4.87,True
1263,742,2023-08-22,3.91,True
33,1418,2022-11-26,3.67,True
1177,228,2022-01-27,1.84,False
790,668,2023-01-28,4.03,False
341,1298,2021-11-17,3.7,True
981,797,2021-09-24,1.6,False
232,54,2021-01-01,2.09,False
474,321,2020-02-19,4.9,False
77,995,2023-02-03,4.12,False
909,1116,2024-06-08,3.62,True
1233,559,2020-02-10,3.07,True
933,1243,2025-03-03,3.35,True
430,435,2024-07-28,3.76,False
1107,531,2024-06-17,2.68,False
1464,764,2026-02-10,2.01,True
564,946,2020-02-24,4.77,False
1205,377,2023-08-25,3.56,False
616,670,2022-07-19,1.05,False
1411,1358,2022-11-06,3.84,True
1467,1101,2020-06-12,4.2,False
999,847,2021-11-04,3.14,True
504,973,2025-12-22,2.31,True
769,984,2023-05-14,3.9,True
1021,1417,2020-04-09,1.89,False
261,41,2024-06-06,4.7,False
914,357,2021-12-12,4.74,True
1008,1103,2022-02-16,4.02,False
882,423,2023-11-18,1.2,False
410,419,2020-03-25,2.31,True
169,513,2021-01-31,4.17,True
828,745,2020-11-07,1.74,True
241,526,2024-02-28,1.86,True
148,1377,2023-08-21,4.31,True
946,1421,2024-02-24,2.78,True
710,419,2023-06-01,4.14,False
745,1303,2024-07-05,2.98,True
1031,773,2021-02-26,1.31,True
19,624,2021-11-26,4.84,False
1445,36,2022-06-22,2.61,False
272,669,2021-08-31,2.85,True
519,1217,2023-06-24,3.14,True
1197,390,2021-06-28,2.65,False
1312,1480,2021-08-25,4.84,False
229,616,2025-12-14,3.21,True
509,1488,2024-11-07,2.6,True
910,9,2021-05-22,1.18,False
500,406,2022-07-31,4.85,True
760,1236,2024-12-14,1.3,False
1368,14,2022-12-31,2.0,True
134,183,2021-10-14,3.35,True
924,951,2025-10-13,2.47,True
1304,199,2026-01-05,4.24,False
1156,246,2025-07-22,2.06,False
665,320,2023-12-31,4.28,False
1057,448,2024-05-03,3.08,True
1070,953,2022-10-09,3.65,True
144,1448,2023-12-08,1.29,False
644,560,2020-10-08,2.61,False
507,1437,2020-12-12,1.04,False
570,375,2022-08-06,1.04,False
15,1484,2025-09-14,2.53,True
980,236,2021-07-13,3.22,False
1229,1214,2022-01-06,4.19,False
417,355,2022-05-05,2.54,True
805,1226,2021-07-18,4.68,False
792,1442,2024-05-14,3.77,True
872,1198,2024-10-20,2.51,True
1346,825,2025-06-15,4.81,True
865,316,2020-06-25,4.58,True
1264,102,2025-08-22,2.1,True
1199,314,2023-12-14,4.33,True
787,33,2024-11-26,4.75,False
100,470,2020-10-05,4.33,False
1021,1052,2023-04-22,2.72,False
476,660,2020-11-20,3.55,True
934,109,2024-03-29,3.41,False
1484,742,2020-08-24,1.68,False
551,1457,2023-10-25,2.76,False
1475,348,2022-05-02,2.37,False
359,573,2025-10-11,1.66,True
976,164,2026-04-06,4.21,True
397,743,2020-04-19,1.66,False
1371,584,2025-06-20,4.67,False
671,1234,2025-04-02,2.6,False
1450,477,2023-10-08,4.71,False
217,1467,2024-06-25,3.29,True
638,1063,2024-01-20,3.1,False
1178,1325,2022-12-21,2.25,False
165,101,2023-06-27,1.55,False
216,666,2024-05-15,2.67,True
1242,407,2023-04-17,3.81,True
23,5,2020-10-30,3.54,False
275,1343,2021-03-04,2.27,False
553,368,2024-01-12,3.59,False
940,494,2025-03-10,4.03,False
251,294,2026-02-11,1.43,False
2,596,2025-12-24,3.81,False
217,976,2020-11-27,3.73,False
1282,1224,2024-03-18,3.51,False
1240,172,2023-06-22,4.09,False
82,1027,2023-05-11,1.99,False
348,1329,2024-05-06,2.36,False
803,585,2021-03-05,1.28,True
1207,1245,2022-06-22,4.63,False
598,1225,2024-02-19,2.02,True
1457,680,2020-06-21,2.36,True
1446,1125,2020-04-11,1.77,False
1371,1,2020-01-07,3.12,True
608,567,2023-10-25,2.08,False
1049,1461,2024-08-20,2.92,True
500,580,2024-12-16,2.42,True
514,1266,2025-01-27,2.07,True
545,962,2020-05-20,1.28,False
1423,1113,2021-05-28,2.18,False
700,302,2022-05-17,3.97,True
1000,986,2024-04-01,1.6,True
666,197,2026-02-14,4.51,True
